Name,RA(deg),DEC(deg),MJD,SN_Redshift
2017eym,6.891667,-12.5341,57926.99799769977,0.059
2017eyz,331.02915295,0.881328395392,57929.5869907001,0.164
2017ezc,236.870371179,11.9779161561,57930.36262729997,0.036
2017ezl,322.741759449,-7.08494843416,57929.54199070018,0.028
2017fbp,49.366167,-0.08575,57935.41000000015,0.023
2017fbr,235.248713,51.437925,57929.419999999925,0.037
2017fbs,230.831174414,8.61636527103,57935.27681712946,0.036
2017fco,350.270299675,3.49999843463,57961.502997700125,0.036
2017fel,322.30573,-0.2947025,57939.52199070016,0.031
2017fgc,20.060167,3.402767,57943.29000000004,0.008
2017flo,162.040817269,10.6253089844,57945.26899310015,0.07855
2017fms,320.060702396,-4.88094396071,57951.325567129534,0.031
2017fmu,329.716048202,-14.8630414336,57949.568993099965,0.053
2017fmv,317.852294855,0.354987988077,57950.54899309995,0.07
2017fne,281.428808212,28.5849623879,57948.52499999991,0.056
2017fnz,337.428659364,11.804868343,57980.50799770001,0.081
2017fqf,31.5616675253,9.64917432749,57958.35999999987,0.03
2017frh,222.40704,18.70009,57960.299999999814,0.032
2017frj,240.334833,26.022881,57960.3329977002,0.031
2017frl,249.452495714,11.7918528571,57956.3589931,0.07
2017fur,9.92861857143,23.2765128571,57781.23699070001,0.057
2017fut,22.245167,19.565278,57963.080000000075,0.042
2017fvl,43.92745,75.15381,57966.60999999987,0.014
2017fwa,334.809173093,-28.4032130313,57960.546990700066,0.028
2017fwn,14.6939560082,13.6543399265,58015.53799769981,0.039
2017fxh,232.668875,45.98105,57971.24699069979,0.065
2017fym,330.205887,-31.15649,57961.61500000022,0.08
2017fyo,317.081741,-43.6703,57956.47699069977,0.036
2017fzy,80.495292,3.484919,57970.96899309987,0.014453
2017gah,330.67675,-32.792631,57975.18000000017,0.0089
2017gap,256.3665,69.222019,57967.29199070018,0.05
2017gau,225.315481667,58.06158,57972.31599539984,0.074
2017gav,255.838042,45.413539,57977.32899310021,0.033
2017gbh,274.53925,18.090189,57976.11799769988,0.027
2017gbk,92.799125,-33.350061,57980.39999999991,0.033
2017gbo,96.139208,-15.678181,57976.55899310019,0.04
2017gcd,44.0352793529,15.2130759943,58783.349988400005,0.028593
2017gcy,5.21449,-15.5202875,57979.560000000056,0.061
2017gdg,351.628185625,-24.464555,57977.51500000013,0.089
2017gdw,21.1791471613,-40.6100229322,57977.549999999814,0.087
