,ID,Name,RA,DEC,Obj. Type,Redshift,Host Name,Host Redshift,Reporting Group/s,Discovery Data Source/s,Classifying Group/s,Associated Group/s,Disc. Internal Name,Disc. Instrument/s,Class. Instrument/s,TNS AT,Public,End Prop. Period,Discovery Mag/Flux,Discovery Filter,Discovery Date (UT),Sender,Remarks,Discovery Bibcode,Classification Bibcodes,Ext. catalog/s
13,130351,SN 2023jvg,335.34242916666665,-11.108463888888888,SN Ia,0.06,WISEA J222122.37-110631.4,,ALeRCE,ZTF,ePESSTO+,ALeRCE,ZTF23aamsddm,P48 - ZTF-Cam,ESO-NTT - EFOSC2-NTT,1,1,,18.2539,g-ZTF,2023-06-02 10:36:03.001,ALeRCE,,2023TNSTR1293....1F,2023TNSCR1341....1H,
14,130329,SN 2023juk,193.627575,2.0614999999999997,SN Ia,0.07,,,ZTF,ZTF,ZTF,ZTF,ZTF23aakxqrp,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.83,r-ZTF,2023-05-25 05:48:28.800,ZTF_Bot1,,2023TNSTR1301....1F,2023TNSCR1326....1J,
15,130292,SN 2023jto,332.97482083333335,18.69531388888889,SN Ia,0.07,,,GOTO,GOTO,ePESSTO+,GOTO,GOTO23dr,GOTO-N - GOTO-1,ESO-NTT - EFOSC2-NTT,1,1,,18.8,L-GOTO,2023-05-30 02:54:13.536,GOTO_bot,,2023TNSTR1271....1K,2023TNSCR1341....1H,
16,130285,SN 2023jth,325.63182916666665,-51.23183888888889,SN Ia,0.05,WISEA J214231.49-511353.8,0.05775,ASAS-SN,ASAS-SN,ePESSTO+,ASAS-SN,ASASSN-23ei,ASASSN-5 - Payne-Gaposchkin,ESO-NTT - EFOSC2-NTT,1,1,,17.8,g-Sloan,2023-05-27 23:41:16.800,Stanek,,2023TNSTR1269....1S,2023TNSCR1341....1H,
17,130254,SN 2023jsc,221.68213333333333,42.307111111111105,SN Ia,0.0376,SDSS J144643.55+421826.1,0.03764976,ALeRCE,ZTF,ZTF,ALeRCE,ZTF23aamlodm,P48 - ZTF-Cam,P60 - SEDM,1,1,,18.7291,g-ZTF,2023-05-29 10:21:25.998,ALeRCE,,2023TNSTR1260....1M,2023TNSCR1328....1N,
18,130253,SN 2023jsb,327.4934875,14.15685,SN Ia,0.03,,,"ATLAS, ZTF","ATLAS, ZTF",ePESSTO+,ATLAS; ZTF,ATLAS23lqf,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",ESO-NTT - EFOSC2-NTT,1,1,,18.477,orange-ATLAS,2023-05-29 13:04:14.304,ATLAS_Bot1,,2023TNSTR1261....1T,2023TNSCR1334....1K,
19,130212,SN 2023jqm,9.397441666666667,-25.356583333333333,SN Ia,0.063,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS23los,ATLAS-STH - ATLAS-03,ESO-NTT - EFOSC2-NTT,1,1,,18.293,cyan-ATLAS,2023-05-29 03:46:48.000,ATLAS_Bot1,,2023TNSTR1261....1T,2023TNSCR1334....1K,
20,130182,SN 2023jpi,324.3289541666667,18.02317222222222,SN Ia,0.09,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS23lnr,"ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03",ESO-NTT - EFOSC2-NTT,1,1,,18.856,orange-ATLAS,2023-05-27 13:22:43.680,ATLAS_Bot1,,2023TNSTR1253....1T,2023TNSCR1334....1K,
21,130181,SN 2023jph,173.6347,45.257352777777776,SN Ia,0.0338,,,"ATLAS, ZTF","ATLAS, ZTF",ZTF,ATLAS; ZTF,ATLAS23lnn,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",P60 - SEDM,1,1,,18.667,orange-ATLAS,2023-05-28 07:44:25.728,ATLAS_Bot1,,2023TNSTR1253....1T,2023TNSCR1348....1F,
22,130173,SN 2023joz,214.92389583333335,9.56475,SN Ia,0.079,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS23lmi,ATLAS-STH - ATLAS-03,ESO-NTT - EFOSC2-NTT,1,1,,18.544,orange-ATLAS,2023-05-27 20:56:48.192,ATLAS_Bot1,,2023TNSTR1253....1T,2023TNSCR1334....1K,
23,130168,SN 2023jou,347.8107708333333,-12.933711111111112,SN Ia,0.1,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS23llt,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03",ESO-NTT - EFOSC2-NTT,1,1,,18.851,cyan-ATLAS,2023-05-28 03:35:22.848,ATLAS_Bot1,,2023TNSTR1253....1T,2023TNSCR1341....1H,
24,130113,SN 2023jms,345.8890125,-45.17394722222222,SN Ia,0.09,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS23ljw,ATLAS-STH - ATLAS-03,ESO-NTT - EFOSC2-NTT,1,1,,18.83,cyan-ATLAS,2023-05-27 02:39:54.720,ATLAS_Bot1,,2023TNSTR1246....1T,2023TNSCR1341....1H,
25,130090,SN 2023jlx,204.36362083333333,63.02815833333333,SN Ia,0.066,,,"ZTF, ATLAS","ZTF, ATLAS",ZTF,ATLAS; ZTF,ZTF23aafhyse,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",P60 - SEDM,1,1,,19.53,g-ZTF,2023-05-24 06:50:23.000,ZTF_Bot1,,2023TNSTR1241....1F,2023TNSCR1266....1F,
26,130081,SN 2023jlo,203.7739,-20.244797222222225,SN Ia,0.0425,WISEA J133505.73-201441.8,,"ALeRCE, Fink, ATLAS","ZTF, ATLAS",ePESSTO+,ALeRCE; ATLAS; Fink,ZTF23aalklzg,"ATLAS-STH - ATLAS-03, P48 - ZTF-Cam",ESO-NTT - EFOSC2-NTT,1,1,,19.942,r-ZTF,2023-05-23 07:49:07.997,ALeRCE,,2023TNSTR1224....1M,2023TNSCR1334....1K,
27,130080,SN 2023jln,259.785525,30.946316666666668,SN Ia,0.08,SDSS J171908.33+305639.2,,"ALeRCE, ATLAS, YSE","ZTF, ATLAS, Pan-STARRS",ZTF,ALeRCE; ATLAS; Pan-STARRS; YSE,ZTF23aaltnze,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2",P60 - SEDM,1,1,,20.8646,g-ZTF,2023-05-23 10:17:25.002,ALeRCE,,2023TNSTR1224....1M,2023TNSCR1326....1J,
28,130055,SN 2023jkp,205.53729166666668,0.8708333333333333,SN Ia,0.09,,,ZTF,ZTF,ePESSTO+,ZTF,ZTF23aakyoji,P48 - ZTF-Cam,ESO-NTT - EFOSC2-NTT,1,1,,20.5,r-ZTF,2023-05-21 06:54:43.200,ZTF_Bot1,,2023TNSTR1230....1F,2023TNSCR1334....1K,
29,130015,SN 2023jje,274.0183583333333,75.051175,SN Ia,0.07,WISEA J181605.19+750305.6,,"ALeRCE, Fink",ZTF,ZTF,ALeRCE; Fink,ZTF23aalsied,P48 - ZTF-Cam,P60 - SEDM,1,1,,19.5415,g-ZTF,2023-05-24 07:49:34.997,ALeRCE,,2023TNSTR1224....1M,2023TNSCR1349....1J,
30,130009,SN 2023jiy,168.61145,-11.702516666666666,SN Ia,0.05,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS23lgj,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03",ESO-NTT - EFOSC2-NTT,1,1,,18.037,orange-ATLAS,2023-05-24 18:41:32.640,ATLAS_Bot1,,2023TNSTR1214....1T,2023TNSCR1334....1K,
31,129996,SN 2023jil,183.23704166666667,57.62835277777778,SN Ia,0.06457,,,"ZTF, Pan-STARRS, ATLAS, Fink","ZTF, Pan-STARRS, ATLAS",ZTF,ATLAS; Fink; Pan-STARRS; ZTF,ZTF23aalqgpk,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,19.89,r-ZTF,2023-05-24 05:19:40.800,ZTF_Bot1,,2023TNSTR1218....1F,,
32,129995,SN 2023jik,310.4857958333333,-8.598730555555557,SN Ia,0.048502,,,"ZTF, ATLAS, Pan-STARRS, Fink","ZTF, ATLAS, Pan-STARRS",ZTF,ATLAS; Fink; Pan-STARRS; ZTF,ZTF23aakidwn,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,20.07,g-ZTF,2023-05-18 10:07:40.800,ZTF_Bot1,,2023TNSTR1218....1F,2023TNSCR1259....1F,
33,129986,SN 2023jib,227.06629583333333,6.799480555555555,SN Ia,0.05,,,"ZTF, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS",ePESSTO+,ATLAS; Pan-STARRS; ZTF,ZTF23aakrkjt,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS2 - GPC2",ESO-NTT - EFOSC2-NTT,1,1,,19.0123,g-ZTF,2023-05-20 08:05:21.120,ZTF_CLU_PUBLIC,,2023TNSTR1219....1D,2023TNSCR1334....1K,
34,129978,SN 2023jht,202.80317083333333,25.313991666666666,SN Ia,0.08,,,"ZTF, ATLAS","ZTF, ATLAS",ePESSTO+,ATLAS; ZTF,ZTF23aaldwgw,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",ESO-NTT - EFOSC2-NTT,1,1,,21.01,g-ZTF,2023-05-20 08:15:21.600,ZTF_Bot1,,2023TNSTR1218....1F,2023TNSCR1341....1H,
35,129953,SN 2023jgu,213.837875,-2.444827777777778,SN Ia,0.05,,,"ANTARES, Fink, Pan-STARRS, ATLAS","ZTF, Pan-STARRS, ATLAS",ZTF,ANTARES; ATLAS; Fink; Pan-STARRS,ZTF23aakawpn,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS2 - GPC2",P60 - SEDM,1,1,,18.052,r-ZTF,2023-05-23 08:23:34.080,ANTARES_bot,,2023TNSTR1198....1A,2023TNSCR1250....1F,
36,129949,SN 2023jgq,222.9050875,18.926136111111113,SN Ia,0.0453,,,"Pan-STARRS, ATLAS","Pan-STARRS, ATLAS",DEbass,ATLAS; Pan-STARRS,PS23djk,"ATLAS-HKO - ATLAS-02, PS2 - GPC2",ANU-2.3m - WiFeS,1,1,,20.09,w-P1,2023-05-22 06:46:54.048,PS1_Bot1,,2023TNSTR1205....1C,2023TNSCR1302....1M,
37,129898,SN 2023jes,233.56756666666666,-0.19625555555555554,SN Ia,0.07,2MASX J15341580-0011436,0.06784,"ALeRCE, ATLAS, Fink, Pan-STARRS","ZTF, ATLAS, Pan-STARRS",ePESSTO+,ALeRCE; ATLAS; Fink; Pan-STARRS,ZTF23aaldzxz,"ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1",ESO-NTT - EFOSC2-NTT,1,1,,20.0127,r-ZTF,2023-05-20 09:06:50.003,ALeRCE,,2023TNSTR1182....1M,2023TNSCR1334....1K,
38,129854,SN 2023jda,296.84765833333336,43.864872222222225,SN Ia,0.042862,,,"ATLAS, ZTF","ATLAS, ZTF",SCAT,ATLAS; ZTF,ATLAS23lbu,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",UH88 - SNIFS,1,1,,18.256,orange-ATLAS,2023-05-22 11:53:19.104,ATLAS_Bot1,,2023TNSTR1184....1T,2023TNSCR1210....1P,
39,129853,SN 2023jcz,231.3238375,45.724225000000004,SN Ia,0.097721,,,ATLAS,ATLAS,SCAT,ATLAS,ATLAS23lbp,ATLAS-HKO - ATLAS-02,UH88 - SNIFS,1,1,,18.818,orange-ATLAS,2023-05-22 09:00:18.144,ATLAS_Bot1,,2023TNSTR1184....1T,2023TNSCR1210....1P,
40,129808,SN 2023jbi,196.32054583333334,21.451791666666665,SN Ia,0.070777,,,"ATLAS, ALeRCE, YSE","ATLAS, ZTF, Pan-STARRS",ZTF,ALeRCE; ATLAS; Pan-STARRS; YSE,ATLAS23kzs,"ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1",P60 - SEDM,1,1,,18.858,orange-ATLAS,2023-05-21 07:47:28.032,ATLAS_Bot1,,2023TNSTR1174....1T,2023TNSCR1325....1F,
41,129804,SN 2023jbe,302.7448708333333,-56.714133333333336,SN Ia,0.052,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS23kzj,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03",ESO-NTT - EFOSC2-NTT,1,1,,18.882,cyan-ATLAS,2023-05-21 01:29:34.080,ATLAS_Bot1,,2023TNSTR1174....1T,2023TNSCR1192....1T,
42,129799,SN 2023jaz,50.770466666666664,-80.4427,SN Ia,0.07,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS23kzb,ATLAS-STH - ATLAS-03,ESO-NTT - EFOSC2-NTT,1,1,,18.805,cyan-ATLAS,2023-05-21 03:25:43.104,ATLAS_Bot1,,2023TNSTR1174....1T,2023TNSCR1334....1K,
43,129760,SN 2023izm,220.7870125,22.876886111111112,SN Ia,0.068438,SDSS J144308.78+225236.0,0.06843752,"ALeRCE, ATLAS","ZTF, ATLAS",ZTF,ALeRCE; ATLAS,ZTF23aakrngt,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",P60 - SEDM,1,1,,19.3518,g-ZTF,2023-05-20 08:08:05.004,ALeRCE,,2023TNSTR1168....1F,2023TNSCR1320....1P,
44,129703,SN 2023ixk,293.44163333333336,41.32266666666667,SN Ia,0.075,,,"ALeRCE, ATLAS","ZTF, ATLAS",ZTF,ALeRCE; ATLAS,ZTF23aakmqlj,"ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam",P60 - SEDM,1,1,,20.3792,g-ZTF,2023-05-17 08:42:40.003,ALeRCE,,2023TNSTR1167....1M,2023TNSCR1326....1J,
45,129688,SN 2023iwv,217.2964625,47.11756666666667,SN Ia,0.071805,,,ATLAS,ATLAS,SCAT,ATLAS,ATLAS23kvo,ATLAS-HKO - ATLAS-02,UH88 - SNIFS,1,1,,19.174,orange-ATLAS,2023-05-18 10:03:49.248,ATLAS_Bot1,,2023TNSTR1156....1T,2023TNSCR1179....1H,
46,129687,SN 2023iwu,154.610375,-6.8445222222222215,SN Ia,0.07642,,,ATLAS,ATLAS,DEbass,ATLAS,ATLAS23kvl,ATLAS-STH - ATLAS-03,ANU-2.3m - WiFeS,1,1,,19.379,cyan-ATLAS,2023-05-18 18:06:27.936,ATLAS_Bot1,,2023TNSTR1156....1T,2023TNSCR1209....1M,
47,129684,SN 2023iwr,173.4384375,-23.639677777777777,SN Ia,0.065,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS23kuz,"ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03",ESO-NTT - EFOSC2-NTT,1,1,,18.572,cyan-ATLAS,2023-05-16 20:18:04.032,ATLAS_Bot1,,2023TNSTR1156....1T,2023TNSCR1192....1T,
48,129681,SN 2023iwo,239.59497083333332,17.142025,SN Ia,0.091,,,ATLAS,ATLAS,ePESSTO+,ATLAS,ATLAS23kub,"ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02",ESO-NTT - EFOSC2-NTT,1,1,,18.683,cyan-ATLAS,2023-05-13 09:58:22.656,ATLAS_Bot1,,2023TNSTR1156....1T,2023TNSCR1192....1T,
49,129662,SN 2023ivv,234.17264583333332,4.475327777777778,SN Ia,0.0692,,,"ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","SCAT, DEbass",ATLAS; Pan-STARRS,ATLAS23ksi,"ATLAS-STH - ATLAS-03, PS2 - GPC2","ANU-2.3m - WiFeS, UH88 - SNIFS",1,1,,19.176,cyan-ATLAS,2023-05-18 21:43:30.144,ATLAS_Bot1,,2023TNSTR1156....1T,"2023TNSCR1179....1H, 2023TNSCR1209....1M",
