Name,RA(deg),DEC(deg),MJD,SN_Redshift
2017ijq,355.7551575,18.99455875,58067.344988400124,0.07200000000000001
2017ijr,313.377853333,-10.0530095238,58066.25499999988,0.038
2017ijw,175.706875,77.37021899999999,58075.58999999985,0.006
2017ile,64.68145799999999,26.931392,58075.61151620001,0.025
2017ilf,38.0431397811,4.07775070682,58074.39899310004,0.073
2017ili,134.36928999999998,28.616640000000004,58076.430000000175,0.048
2017iln,147.330833,10.535061,58070.643993100144,0.081
2017imd,111.07179199999999,10.266611,58077.502997700125,0.076
2017img,116.712792,15.399119,58077.49799769978,0.04
2017imw,318.470708,2.220269,58084.79299770017,0.047
2017imx,162.970917,51.008069,58078.6869212999,0.0276
2017inu,83.52990799999999,-29.611389000000003,58079.330000000075,0.036000000000000004
2017itp,13.274083,-38.943689,58109.48199070013,0.043
2017itw,139.767663924,5.88685162123,58079.59199069999,0.046
2017iui,149.26913000000002,-35.180944000000004,58081.56299770017,0.035
2017ivs,161.805375,0.203811,58116.55399309984,0.035
2017ivz,151.629292,-16.486881,58089.16799770017,0.079
2017iya,181.43983300000002,10.398169000000001,58100.64000000013,0.027999999999999997
2017izu,32.19945,-44.666470000000004,58103.069999999825,0.08
2017jdy,50.866417,-41.305569,58102.05299769994,0.07
2017kz,128.457583,-25.040160999999998,57767.320995400194,0.06
